,0
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
ville,city
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
pourrais,could
affaire,case
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
